KE_LL_OH_1s1s,KE_LL_OH_2s1s,KE_LL_OH_2px1s,KE_LL_OH_2py1s,KE_LL_OH_2pz1s,KE_LL_O_1s1s,KE_LL_O1_1s1s,KE_LL_O1_1s2s,KE_LL_O1_1s2px,KE_LL_O1_1s2py,KE_LL_O1_1s2pz,KE_LL_O1_2s1s,KE_LL_O1_2s2s,KE_LL_O1_2s2px,KE_LL_O1_2s2py,KE_LL_O1_2s2pz,KE_LL_O1_2px1s,KE_LL_O1_2px2s,KE_LL_O1_2px2px,KE_LL_O1_2px2py,KE_LL_O1_2px2pz,KE_LL_O1_2py1s,KE_LL_O1_2py2s,KE_LL_O1_2py2px,KE_LL_O1_2py2py,KE_LL_O1_2py2pz,KE_LL_O1_2pz1s,KE_LL_O1_2pz2s,KE_LL_O1_2pz2px,KE_LL_O1_2pz2py,KE_LL_O1_2pz2pz,KE_OH_1s1s,KE_QU_OH_2s1s,KE_QU_OH_2px1s,KE_QU_OH_2py1s,KE_QU_OH_2pz1s
-0.0078013695753112698,0.08095388449155852,-0.039893798966896141,-0.19634985914391548,0.042856218668016574,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.4509948614342815e-15,0.0,-5.9022803759737629e-16,-0.16801093931649191,0.80812795493034761,-6.8108984547740759e-16,-3.6236842248930891e-16,2.1442821486296123e-17,1.4509948614342815e-15,-6.8108984547740759e-16,2.5287311981947624,9.1916911433328121e-32,0.0,0.0,-3.6236842248930891e-16,9.1916911433328121e-32,2.5287311981947624,0.0,-5.9022803759737629e-16,2.1442821486296123e-17,0.0,0.0,2.5287311981947624,-0.10551882037518859,0.11166650152078959,-0.049402341792807947,-0.128926453534847,0.048814823239906296
-0.0085157297985404487,0.068337046655041755,-0.036048532717003937,-0.1617018161946541,-0.077282391887289581,0.76003188356660889,29.003199945539578,-0.16801093931649191,-1.5060965338003761e-16,-1.9453816096673917e-18,-3.7236111778695525e-16,-0.16801093931649191,0.80812795493034761,-3.6236842248930891e-16,-4.4813970843449338e-16,3.8458808436101187e-16,-1.5060965338003761e-16,-3.6236842248930891e-16,2.5287311981947624,9.1916911433328121e-32,-4.5958455716664061e-32,-1.9453816096673917e-18,-4.4813970843449338e-16,9.1916911433328121e-32,2.5287311981947624,-5.2534508739469079e-32,-3.7236111778695525e-16,3.8458808436101187e-16,-4.5958455716664061e-32,-5.2534508739469079e-32,2.5287311981947624,-0.10306653448883531,0.096692003729758322,-0.031415507180588151,-0.10379757340220148,-0.024319857383524122
-0.0025073177013913172,0.12863938185127577,-0.0039614367663621652,0.12819730268131033,0.2537507933660807,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.1987269308945387e-15,2.2356649578203959e-15,2.171771039231801e-17,-0.16801093931649191,0.80812795493034761,-7.6686113142259211e-16,-3.6236842248930891e-16,0.0,1.1987269308945387e-15,-7.6686113142259211e-16,2.5287311981947624,9.1916911433328121e-32,0.0,2.2356649578203959e-15,-3.6236842248930891e-16,9.1916911433328121e-32,2.5287311981947624,0.0,2.171771039231801e-17,0.0,0.0,0.0,2.5287311981947624,-0.10686891738098991,0.17136775372513452,-0.032471203704582854,0.1230057509959393,0.23230927949401128
-0.0087336541556534593,0.062374699450897506,-0.03235300257261587,0.15124340626300309,-0.075711412848372489,0.76003188356660889,29.003199945539578,-0.16801093931649191,3.1250464864721108e-16,-3.3380366977060669e-16,3.2133278847477405e-15,-0.16801093931649191,0.80812795493034761,-2.3980350045296224e-16,-3.6236842248930891e-16,-3.6236842248930891e-16,3.1250464864721108e-16,-2.3980350045296224e-16,2.5287311981947624,4.5958455716664061e-32,4.5958455716664061e-32,-3.3380366977060669e-16,-3.6236842248930891e-16,4.5958455716664061e-32,2.5287311981947624,9.1916911433328121e-32,3.2133278847477405e-15,-3.6236842248930891e-16,4.5958455716664061e-32,9.1916911433328121e-32,2.5287311981947624,-0.080837775458242084,0.084233518612191943,-0.0052940556197888251,0.077495878455736258,-0.07711942031672106
-0.0060382602149271275,0.10088450702037277,-0.10981517115138859,-0.19229318373710558,-0.089498278264778075,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.3501184438594072e-16,-9.0173285323101575e-16,4.904188102413216e-17,-0.16801093931649191,0.80812795493034761,-2.2648026405581807e-17,-7.2473684497861782e-16,4.8607417911503719e-17,1.3501184438594072e-16,-2.2648026405581807e-17,2.5287311981947624,1.1489613929166015e-32,-7.1810087057287595e-34,-9.0173285323101575e-16,-7.2473684497861782e-16,1.1489613929166015e-32,2.5287311981947624,-2.297922785833203e-32,4.904188102413216e-17,4.8607417911503719e-17,-7.1810087057287595e-34,-2.297922785833203e-32,2.5287311981947624,-0.10798872791414339,0.13646047373670994,-0.075734898731520686,-0.17587250419092842,-0.060804526521361285
-0.0081063091849125149,0.076254355504923405,-0.098505713647179513,-0.096584375112897775,-0.14024402935808758,0.76003188356660889,29.003199945539578,-0.16801093931649191,4.4816111628949586e-16,-1.3791048402085368e-16,6.5602324767815084e-17,-0.16801093931649191,0.80812795493034761,-2.2642008460339029e-16,-1.4217581844852272e-16,0.0,4.4816111628949586e-16,-2.2642008460339029e-16,2.5287311981947624,-5.1337516504393495e-32,0.0,-1.3791048402085368e-16,-1.4217581844852272e-16,-5.1337516504393495e-32,2.5287311981947624,0.0,6.5602324767815084e-17,0.0,0.0,0.0,2.5287311981947624,-0.089551191742202052,0.10368713797692061,-0.088293983918865865,-0.069485070771075519,-0.082357659464204883
0.0031073629178887301,0.16294741419902536,-0.27239291672383953,-0.1969394828250895,0.032761447851196626,0.76003188356660889,29.003199945539578,-0.16801093931649191,1.0481172775145011e-15,1.3072785575391035e-15,2.7490022987188527e-15,-0.16801093931649191,0.80812795493034761,-6.8108984547740759e-16,-1.8118421124465446e-16,-4.4813970843449338e-16,1.0481172775145011e-15,-6.8108984547740759e-16,2.5287311981947624,4.5958455716664061e-32,9.1916911433328121e-32,1.3072785575391035e-15,-1.8118421124465446e-16,4.5958455716664061e-32,2.5287311981947624,4.5958455716664061e-32,2.7490022987188527e-15,-4.4813970843449338e-16,9.1916911433328121e-32,4.5958455716664061e-32,2.5287311981947624,-0.13252058920503598,0.22015158046220051,-0.26922324463480884,-0.18490114927523113,0.01445335452990291
-0.0064309113917763736,0.097071414587844587,-0.14711245497463477,-0.17910063226399325,-0.01749414591569029,0.76003188356660889,29.003199945539578,-0.16801093931649191,9.1566859814817703e-16,-2.9289101937702602e-17,-1.8313371962963537e-15,-0.16801093931649191,0.80812795493034761,-9.0592105622327228e-17,-7.2473684497861782e-16,1.8118421124465446e-16,9.1566859814817703e-16,-9.0592105622327228e-17,2.5287311981947624,4.5958455716664061e-32,-1.1489613929166015e-32,-2.9289101937702602e-17,-7.2473684497861782e-16,4.5958455716664061e-32,2.5287311981947624,-9.1916911433328121e-32,-1.8313371962963537e-15,1.8118421124465446e-16,-1.1489613929166015e-32,-9.1916911433328121e-32,2.5287311981947624,-0.10666611931305735,0.13269745852583165,-0.10097471984723985,-0.16043391285408387,0.0087664853247684388
0.0054022434557594434,0.17555153083089245,0.26563689639735372,-0.031102285182551755,-0.23580592708627379,0.76003188356660889,29.003199945539578,-0.16801093931649191,-1.8417031342259678e-16,-3.8907632193347833e-18,6.6517609203368278e-17,-0.16801093931649191,0.80812795493034761,5.6605021150847573e-17,-7.2473684497861782e-16,2.2648026405581807e-17,-1.8417031342259678e-16,5.6605021150847573e-17,2.5287311981947624,-4.5958455716664061e-32,1.4362017411457519e-33,-3.8907632193347833e-18,-7.2473684497861782e-16,-4.5958455716664061e-32,2.5287311981947624,-1.1489613929166015e-32,6.6517609203368278e-17,2.2648026405581807e-17,1.4362017411457519e-33,-1.1489613929166015e-32,2.5287311981947624,-0.099511387212764937,0.22973391315743369,0.28343050623944088,-0.052627659386233205,-0.22552305878831497
-0.0012198815042538534,0.13716316985351126,-0.18275824702109777,-0.13780819910215353,0.19063324214708097,0.76003188356660889,29.003199945539578,-0.16801093931649191,-2.2309981640061095e-16,2.7668817321112961e-15,1.3100489043500591e-18,-0.16801093931649191,0.80812795493034761,4.5296052811163614e-17,-7.2473684497861782e-16,-1.5957777018814963e-18,-2.2309981640061095e-16,4.5296052811163614e-17,2.5287311981947624,-2.297922785833203e-32,-2.2440652205402373e-35,2.7668817321112961e-15,-7.2473684497861782e-16,-2.297922785833203e-32,2.5287311981947624,3.5905043528643797e-34,1.3100489043500591e-18,-1.5957777018814963e-18,-2.2440652205402373e-35,3.5905043528643797e-34,2.5287311981947624,-0.11607492089298649,0.18440541944879277,-0.14730445530820085,-0.15339805170687001,0.1850159468186979
